file,offset,length,encoding,text,context_hex
kigyo.dat,3295,11,shift_jis,ﾉ覧m　　　@,AD 82 DD 81 42 19 05 02 C9 97 97 6D 81 40 81 40 81 40 40 81 00 00 00 00 00 00 20
kigyo.dat,3350,6,shift_jis,070201,44 05 00 00 00 00 00 06 30 37 30 32 30 31 88 00 00 00 00 11 00 00
kigyo.dat,3405,4,shift_jis,1103,1B 00 00 00 00 00 00 04 31 31 30 33 00 00 00 29 42 02 00 20
kigyo.dat,3460,4,shift_jis,1203,00 00 00 00 00 00 00 04 31 32 30 33 00 00 00 69 87 02 00 11
kigyo.dat,3483,6,shift_jis,οﾌﾌﾌL,59 07 00 00 A0 02 00 00 83 CD CC CC CC 4C 83 00 00 00 00 20 00 00
kigyo.dat,3515,4,shift_jis,1303,00 00 00 00 00 00 00 04 31 33 30 33 00 00 00 62 73 02 00 DE
kigyo.dat,3539,5,shift_jis,)\渉u,05 00 00 26 03 00 00 83 29 5C 8F C2 75 83 00 00 00 00 20 00 00
kigyo.dat,3570,4,shift_jis,1403,00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 1A EE 02 00 A7
kigyo.dat,3625,4,shift_jis,1503,00 00 00 00 00 00 00 04 31 35 30 33 00 00 00 00 00 00 00 00
kigyo.dat,3680,4,shift_jis,1503,00 00 00 00 00 00 00 04 31 35 30 33 00 01 00 00 00 00 00 00
kigyo.dat,3735,4,shift_jis,1103,00 00 00 00 00 00 00 04 31 31 30 33 00 00 00 AB 7B 02 00 34
kigyo.dat,3759,4,shift_jis,ﾍﾌﾌﾌ,06 00 00 3A 00 00 00 80 CD CC CC CC 0C 00 00 00 00 00 00 06
kigyo.dat,3771,6,shift_jis,110805,0C 00 00 00 00 00 00 06 31 31 30 38 30 35 00 00 00 00 00 00 00 00
kigyo.dat,3790,4,shift_jis,1203,00 00 00 00 00 00 00 04 31 32 30 33 00 00 00 7D C6 02 00 64
kigyo.dat,3826,6,shift_jis,130206,00 00 00 00 00 00 00 06 31 33 30 32 30 36 00 00 00 00 00 00 00 00
kigyo.dat,3845,4,shift_jis,1303,00 00 00 00 00 00 00 04 31 33 30 33 00 00 00 7E B7 02 00 14
kigyo.dat,3881,6,shift_jis,140205,41 00 00 00 00 00 00 06 31 34 30 32 30 35 00 00 00 00 00 00 00 00
kigyo.dat,3900,4,shift_jis,1403,00 00 00 00 00 00 00 04 31 34 30 33 00 00 00 93 16 03 00 63
kigyo.dat,3936,6,shift_jis,2014/0,62 00 00 00 00 00 00 06 32 30 31 34 2F 30 00 00 00 00 00 00 00 00
kigyo.dat,3955,4,shift_jis,1503,00 00 00 00 00 00 00 04 31 35 30 33 00 00 00 C8 20 03 00 74
kigyo.dat,3991,6,shift_jis,2014/0,00 00 00 00 00 00 00 06 32 30 31 34 2F 30 00 00 00 00 00 00 00 00
kigyo.dat,4010,4,shift_jis,1003,00 00 00 00 00 00 00 04 31 30 30 33 00 00 00 00 00 00 00 00
kigyo.dat,4064,51,shift_jis,2買い付け主力。すしネタに強み。加工食品は業務用が軸,00 00 00 00 00 00 00 00 32 94 83 82 A2 95 74 82 AF 8E E5 97 CD 81 42 82 B7 82 B5 83 6C 83 5E 82 C9 8B AD 82 DD 81 42 89 C1 8D 48 90 48 95 69 82 CD 8B C6 96 B1 97 70 82 AA 8E B2 1A 05 02 C9 97 97 6D 81
